//Which Account owns the most Address Books?
mysql> SELECT accountId, COUNT(accountId) FROM AddressBook GROUP BY accountId ORDER BY COUNT(accountId);
+-----------+------------------+
| accountId | COUNT(accountId) |
+-----------+------------------+
|        52 |                3 |
|        86 |                5 |
|        17 |                6 |
|        96 |                6 |
|        27 |                6 |
|        72 |                6 |
|        39 |                7 |
|        89 |                7 |
|        99 |                7 |
|         3 |                7 |
|        40 |                7 |
|        15 |                7 |
|        22 |                7 |
|        55 |                7 |
|        37 |                8 |
|        19 |                8 |
|         4 |                8 |
|        77 |               15 |
|        23 |               15 |
|        71 |               15 |
|        83 |               15 |
|        62 |               15 |
|        31 |               15 |
|        76 |               16 |
|        20 |               16 |
|         2 |               17 |
|        42 |               18 |
|        58 |               18 |
|         5 |               19 |
|        14 |               19 |
+-----------+------------------+
Account ID 5 and 14 both have 19 values

//Which Address Book contains the most Entries?
mysql> SELECT addressBookId, COUNT(addressBookId) FROM Entry GROUP BY addressBookId ORDER BY COUNT(addressBookId);
+---------------+----------------------+
| addressBookId | COUNT(addressBookId) |
+---------------+----------------------+
|             3 |                   19 |
|           110 |                   22 |
|           102 |                   22 |
|           105 |                   23 |
|            44 |                   24 |
|            46 |                   26 |
|            29 |                   27 |
|            82 |                   27 |
|            83 |                   28 |
|            93 |                   29 |
|            48 |                   29 |
|            65 |                   29 |
|            22 |                   29 |
|            30 |                   30 |
|             6 |                   30 |
|            26 |                   30 |
|            31 |                   30 |
|            79 |                   30 |
|           106 |                   30 |
|            80 |                   30 |
|            55 |                   31 |
|            41 |                   31 |
|            17 |                   31 |
|            47 |                   31 |
|            76 |                   31 |
|           109 |                   31 |
|            68 |                   31 |
|            35 |                   32 |
|            78 |                   32 |
|            53 |                   33 |
|            61 |                   33 |
|            70 |                   33 |
|            66 |                   33 |
|            49 |                   33 |
|            39 |                   33 |
|            87 |                   34 |
|           107 |                   34 |
|            91 |                   34 |
|           100 |                   34 |
|             9 |                   34 |
|            69 |                   35 |
|            86 |                   35 |
|           108 |                   35 |
|            13 |                   35 |
|            81 |                   35 |
|             5 |                   35 |
|            14 |                   35 |
|            88 |                   35 |
|            74 |                   36 |
|            16 |                   36 |
|            36 |                   36 |
|            25 |                   36 |
|            72 |                   36 |
|            60 |                   36 |
|            99 |                   36 |
|            73 |                   36 |
|            77 |                   36 |
|            59 |                   36 |
|            90 |                   36 |
|             4 |                   36 |
|            34 |                   44 |
|            32 |                   44 |
|            11 |                   45 |
|            12 |                   45 |
|            28 |                   45 |
|             7 |                   46 |
|            57 |                   46 |
|            23 |                   46 |
|            62 |                   47 |
|             8 |                   48 |
|            89 |                   48 |
|            50 |                   49 |
|            20 |                   50 |
|            37 |                   52 |
+---------------+----------------------+
110 rows in set (0.01 sec)

addressBookId 37 has the most entries at 52.
